epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7803,1.22328,3.47445,1.41093,0.00964,0.94118,0.52074,0.35269,0.74525,3.55108,1.19581,0.00011669,0.00011669,0.00011669
2,110.123,1.05293,2.49951,1.31901,1,0.28197,0.82972,0.53864,0.79484,3.00181,1.16761,0.000245099,0.000245099,0.000245099
3,165.379,0.97542,1.76978,1.22001,1,0.38155,0.89786,0.59559,0.87857,2.89153,1.27488,0.000368227,0.000368227,0.000368227
